 iperf3 -c 192.168.181.214 -t 300
Connecting to host 192.168.181.214, port 5201
[  4] local 192.168.206.92 port 33596 connected to 192.168.181.214 port 5201
[  4] 145.00-146.00 sec   465 MBytes  3.90 Gbits/sec    2   1.52 MBytes       
[  4] 146.00-147.00 sec   426 MBytes  3.58 Gbits/sec    0   1.72 MBytes       
[  4] 147.00-148.00 sec   441 MBytes  3.70 Gbits/sec    4   1.32 MBytes       
[  4] 148.00-149.00 sec   449 MBytes  3.76 Gbits/sec    0   1.56 MBytes       
[  4] 149.00-150.00 sec   441 MBytes  3.70 Gbits/sec    0   1.75 MBytes       
[  4] 150.00-151.00 sec   451 MBytes  3.78 Gbits/sec    0   1.93 MBytes       
[  4] 151.00-152.00 sec   502 MBytes  4.22 Gbits/sec    0   2.11 MBytes       
[  4] 152.00-153.00 sec   429 MBytes  3.60 Gbits/sec    7   1.19 MBytes       
[  4] 153.00-154.00 sec   496 MBytes  4.16 Gbits/sec    0   1.47 MBytes       
[  4] 154.00-155.00 sec   512 MBytes  4.29 Gbits/sec    0   1.70 MBytes       
[  4] 155.00-156.00 sec   499 MBytes  4.18 Gbits/sec    0   1.91 MBytes       
[  4] 156.00-157.00 sec   541 MBytes  4.54 Gbits/sec    0   2.10 MBytes       
[  4] 157.00-158.00 sec   490 MBytes  4.11 Gbits/sec    0   2.27 MBytes       
[  4] 158.00-159.00 sec   458 MBytes  3.84 Gbits/sec    0   2.41 MBytes       
[  4] 159.00-160.00 sec   462 MBytes  3.88 Gbits/sec    0   2.55 MBytes       
[  4] 160.00-161.00 sec   519 MBytes  4.35 Gbits/sec    0   2.69 MBytes       
[  4] 161.00-162.00 sec   496 MBytes  4.16 Gbits/sec    0   2.81 MBytes       
[  4] 162.00-163.00 sec   559 MBytes  4.68 Gbits/sec    0   2.95 MBytes       
[  4] 163.00-164.00 sec   511 MBytes  4.29 Gbits/sec   32   2.27 MBytes       
[  4] 164.00-165.00 sec   518 MBytes  4.34 Gbits/sec    0   2.44 MBytes       
